Fountain_Height_5.0_m,Drop_Height_5.0_m,Fountain_Height_2.0_m,Drop_Height_2.0_m,Fountain_Height_1.0_m,Drop_Height_1.0_m,Fountain_Height_3.5_m,Drop_Height_3.5_m,Measured_Drop_Height_m,Average_Fountain_Height_m,Standard_Deviation,Theoritical_Drop_Height_m,Theoritical_Fountain_Height_m
0.3015,5,0.1794,2,0.1643,1,0.2142,3.5,0.96,0.13692,0.019876608,0.96,0.14
0.3132,5,0.1076,2,0.1444,1,0.1975,3.5,1.89,0.14511,0.022913725,1.89,0.16
0.2964,5,0.1437,2,0.1487,1,0.2166,3.5,3.45,0.24753,0.035899615,3,0.23
0.2384,5,0.1323,2,0.1501,1,0.2378,3.5,5,0.2734,0.05956427,3.45,0.25
0.3419,5,0.111,2,0.1059,1,0.2421,3.5,,,,4,0.27
0.3409,5,0.1538,2,0.1408,1,0.2957,3.5,,,,5,0.31
0.2344,5,0.1681,2,0.1265,1,0.2332,3.5,,,,,
0.2076,5,0.1446,2,0.1288,1,0.2813,3.5,,,,,
0.2966,5,0.1546,2,0.1055,1,0.2527,3.5,,,,,
0.1631,5,0.156,2,0.1542,1,0.3042,3.5,,,,,
