Average_Time_0_96m_6.0mm,Average_Velocity_0_96m_6.0mm,Time_STD,Velocity_STD,STD_of_STD_time,STD_of_STD_velocity 
0.141671642,0.070461869,0.082406752,0.492293371,0.011653084,0.072996807
0.675,0.23485119,0.035494466,0.66054528,0.011653084,0.072996807
0.814625,0.254116856,0.029457135,0.93561366,0.011653084,0.072996807
0.933380952,0.328486842,0.025900726,1.047346092,0.011653084,0.072996807
1.027111111,0.468598958,0.022138306,1.946922862,0.011653084,0.072996807
1.129210526,0.372419118,0.023439233,1.538836066,0.011653084,0.072996807
1.21875,0.401643519,0.024640307,0.775211141,0.011653084,0.072996807
1.304157895,0.142068024,0.023360135,0.964260463,0.011653084,0.072996807
1.391684211,0.485475877,0.02346878,2.748559048,0.011653084,0.072996807
1.48332,0.420098333,0.030618241,2.183699261,0.011653084,0.072996807
1.575052632,0.479510965,0.023370146,2.33868102,0.011653084,0.072996807
1.658428571,0.502083333,0.025860339,2.429052624,0.011653084,0.072996807
1.7437,0.502433333,0.0246536,2.827747078,0.011653084,0.072996807
1.829190476,0.464722222,0.025852696,2.152560774,0.011653084,0.072996807
1.9146,0.44470625,0.024724588,1.570164852,0.011653084,0.072996807
2.002045455,0.451698864,0.027065137,1.500052231,0.011653084,0.072996807
2.0895,0.478625,0.024680058,2.01616161,0.011653084,0.072996807
2.17295,0.486027083,0.024560291,1.837934608,0.011653084,0.072996807
2.258380952,0.497204365,0.025900726,2.326252563,0.011653084,0.072996807
2.3437,0.53298125,0.0246536,2.712665107,0.011653084,0.072996807
2.429238095,0.534829365,0.025771893,2.784478104,0.011653084,0.072996807
2.518818182,0.480549242,0.027075971,2.409014722,0.011653084,0.072996807
2.610454545,0.465956439,0.027039173,2.118226582,0.011653084,0.072996807
2.698,0.5317625,0.024644846,2.568240347,0.011653084,0.072996807
2.78135,0.54240625,0.024666779,2.59210144,0.011653084,0.072996807
