1.0.6.0.v,1.0.6.0.v,1.0.6.0.v,1.0.6.0.v,1.0.6.0.v,,1.0.6.0.v,,1.0.6.0.v,,1.0.6.0.v,,1.0.6.0.v,,1.0.6.0.v,,1.0.6.0.v,,1.0.6.0.v,,1.0.6.0.v,,1.0.6.0.v,,,,1.0.6.0.v,,1.0.6.0.v,,1.0.6.0.v,,1.0.6.0.v,,1.0.6.0.v,,1.0.6.0.v,,1.0.6.0.v,,1.0.6.0.v,,1.0.6.0.v,,1.0.6.0.v,,1.0.6.0.v,,1.0.6.0.v,
t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,1.0.6.0.v,,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v
0,,0.617,1.61E+03,0.767,,0.892,,0.992,,1.092,,1.179,,1.267,,1.354,3.59E+04,1.433,2.64E+04,1.538,3.33E+04,1.617,2.11E+04,t,v,1.788,2.85E+04,1.875,2.45E+04,1.958,1.92E+04,2.05,2.43E+04,2.133,2.31E+04,2.217,2.31E+04,2.304,3.12E+04,2.388,2.90E+04,2.475,3.17E+04,2.567,2.27E+04,2.658,3.08E+04,2.742,2.81E+04
0.004,678.8,0.621,1.94E+03,0.771,536.7,0.896,3.22E+03,0.996,7.29E+03,1.096,2.55E+03,1.183,6.62E+03,1.271,1.08E+04,1.358,1.26E+04,1.438,1.12E+04,1.542,8.65E+03,1.621,8.47E+03,1.704,3.64E+04,1.792,8.33E+03,1.879,8.05E+03,1.962,9.41E+03,2.054,8.27E+03,2.138,5.96E+03,2.221,1.15E+04,2.308,9.95E+03,2.392,1.06E+04,2.479,9.26E+03,2.571,9.83E+03,2.663,7.29E+03,2.746,1.09E+04
0.008,1.68E+03,0.625,3.91E+03,0.775,4.19E+03,0.9,5.54E+03,1,8.65E+03,1.1,4.43E+03,1.188,7.08E+03,1.275,1.13E+04,1.363,9.01E+03,1.442,5.53E+03,1.546,9.44E+03,1.625,9.95E+03,1.708,1.32E+04,1.796,8.30E+03,1.883,8.64E+03,1.967,1.04E+04,2.058,8.28E+03,2.142,6.78E+03,2.225,1.26E+04,2.312,1.08E+04,2.396,1.14E+04,2.483,1.11E+04,2.575,1.01E+04,2.667,8.49E+03,2.75,7.08E+03
0.013,1.46E+03,0.629,7.00E+03,0.779,6.52E+03,0.904,1.06E+04,1.004,7.79E+03,1.104,6.07E+03,1.192,1.29E+04,1.279,6.72E+03,1.367,9.28E+03,1.446,4.00E+03,1.55,1.21E+04,1.629,9.00E+03,1.712,1.26E+04,1.8,9.44E+03,1.887,1.10E+04,1.971,1.22E+04,2.062,9.98E+03,2.146,1.27E+04,2.229,9.81E+03,2.317,8.62E+03,2.4,1.24E+04,2.488,1.27E+04,2.579,8.10E+03,2.671,1.17E+04,2.754,9.69E+03
0.017,1.07E+03,0.633,7.71E+03,0.783,3.80E+03,0.908,9.44E+03,1.008,5.66E+03,1.108,7.75E+03,1.196,1.43E+04,1.283,8.28E+03,1.371,1.10E+04,1.45,3.99E+03,1.554,1.24E+04,1.633,5.09E+03,1.717,1.07E+04,1.804,1.01E+04,1.892,1.16E+04,1.975,8.96E+03,2.067,1.38E+04,2.15,1.03E+04,2.233,7.32E+03,2.321,9.03E+03,2.404,9.76E+03,2.492,7.62E+03,2.583,5.64E+03,2.675,1.03E+04,2.758,1.05E+04
0.021,2.15E+03,0.637,5.77E+03,0.788,3.73E+03,0.912,7.36E+03,1.013,4.73E+03,1.113,1.75E+04,1.2,1.01E+04,1.288,1.12E+04,1.375,8.96E+03,1.454,4.55E+03,1.558,1.04E+04,1.638,1.25E+04,1.721,9.55E+03,1.808,1.26E+04,1.896,1.08E+04,1.979,9.61E+03,2.071,1.44E+04,2.154,7.55E+03,2.237,1.05E+04,2.325,1.14E+04,2.408,6.73E+03,2.496,6.14E+03,2.588,7.32E+03,2.679,1.29E+04,2.763,1.18E+04
0.025,1.70E+03,0.642,5.60E+03,0.792,7.92E+03,0.917,1.03E+04,1.017,1.27E+04,1.117,1.56E+04,1.204,9.34E+03,1.292,1.01E+04,1.379,7.34E+03,1.458,8.80E+03,1.563,9.03E+03,1.642,1.82E+04,1.725,8.66E+03,1.812,1.09E+04,1.9,9.89E+03,1.983,1.02E+04,2.075,1.21E+04,2.158,9.51E+03,2.242,1.17E+04,2.329,1.10E+04,2.413,6.96E+03,2.5,1.08E+04,2.592,9.78E+03,2.683,1.51E+04,2.767,9.40E+03
0.029,1.29E+03,0.646,5.62E+03,0.796,3.37E+03,0.921,8.26E+03,1.021,1.41E+04,1.121,6.93E+03,1.208,8.25E+03,1.296,1.15E+04,1.383,8.85E+03,1.462,1.17E+04,1.567,9.87E+03,1.646,1.02E+04,1.729,1.04E+04,1.817,5.89E+03,1.904,8.77E+03,1.988,8.88E+03,2.079,9.58E+03,2.163,1.10E+04,2.246,1.02E+04,2.333,1.13E+04,2.417,7.25E+03,2.504,1.25E+04,2.596,1.05E+04,2.688,1.01E+04,2.771,9.90E+03
0.033,2.07E+03,0.65,3.91E+03,0.8,6.34E+03,0.925,7.22E+03,1.025,1.01E+04,1.125,7.93E+03,1.212,1.01E+04,1.3,1.14E+04,1.387,8.79E+03,1.467,9.11E+03,1.571,1.05E+04,1.65,8.76E+03,1.733,9.02E+03,1.821,8.15E+03,1.908,9.45E+03,1.992,8.62E+03,2.083,8.88E+03,2.167,9.47E+03,2.25,7.90E+03,2.338,9.84E+03,2.421,7.67E+03,2.508,1.19E+04,2.6,1.16E+04,2.692,9.10E+03,2.775,1.23E+04
