Average_Time_5m_6.0mm,Average_Velocity_5m_6.0mm,Time_STD,Velocity_STD,STD_of_STD_time,STD_of_STD_velocity 
0.06666,1.389,0.034274896,0.540526513,0.006507971,1.035725389
0.2563,1.9974,0.034029802,0.554209534,0.006507971,1.035725389
0.4104,2.186,0.029462783,0.575727508,0.006507971,1.035725389
0.525,2.32,0.028259708,0.860386308,0.006507971,1.035725389
0.622916667,2.751669841,0.027056611,0.743967376,0.006507971,1.035725389
0.722916667,3.29457503,0.022243913,0.746096773,0.006507971,1.035725389
0.80625,3.503005643,0.022243913,1.249485854,0.006507971,1.035725389
0.8875,3.20654131,0.021040635,1.096223793,0.006507971,1.035725389
0.966666667,4.27600929,0.016226835,0.659408075,0.006507971,1.035725389
1.027083333,4.754403615,0.017430417,1.038865626,0.006507971,1.035725389
1.09790625,5.859943713,0.019819834,2.475968717,0.006507971,1.035725389
1.158333333,5.37254634,0.016226835,1.714149345,0.006507971,1.035725389
1.216666667,5.401031692,0.016226835,1.074035869,0.006507971,1.035725389
1.272916667,5.959329076,0.017430417,1.800738256,0.006507971,1.035725389
1.33125,5.42384054,0.017430417,2.87246844,0.006507971,1.035725389
1.3875,8.379019566,0.01381927,5.120929941,0.006507971,1.035725389
1.4375,6.469500935,0.016226835,2.03438667,0.006507971,1.035725389
1.489583333,6.421974631,0.01502313,1.923630612,0.006507971,1.035725389
1.545833333,6.273044114,0.0186339,2.564089411,0.006507971,1.035725389
1.597916667,7.629474083,0.01261521,3.83411227,0.006507971,1.035725389
1.689583333,7.562870446,0.01261521,1.27172616,0.006507971,1.035725389
1.741666667,8.161364308,0.01502313,1.913846375,0.006507971,1.035725389
1.779166667,7.799023094,0.009001029,1.726867512,0.006507971,1.035725389
1.822916667,7.564232648,0.01381927,1.32533492,0.006507971,1.035725389
1.866666667,8.155964199,0.01381927,2.116748187,0.006507971,1.035725389
1.9125,7.526434681,0.01381927,1.725477552,0.006507971,1.035725389
1.958333333,8.08830753,0.01381927,1.108629378,0.006507971,1.035725389
2.002083333,6.962503032,0.01502313,1.442303031,0.006507971,1.035725389
