mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A
t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v
0,,0.2,,0.3625,,0.479166667,,0.579166667,,0.6875,,0.770833333,,0.854166667,,0.941666667,,1,,1.066666667,,1.133333333,11797.28782,1.191666667,12052.68435,1.245833333,18851.84341,1.304166667,28341.60193,1.366666667,,1.4125,27186.02582,1.466666667,27883.41443,1.516666667,14855.30208,1.579166667,43223.99334,1.625,14855.30208,1.666666667,30144.61146,1.729166667,14958.18171,1.758333333,25273.03702,1.8,15072.30573,1.845833333,28018.65093,1.891666667,18998.31571,1.941666667,15332.31881,1.979166667,22905.23084
0.004166667,4853.69962,0.2,4659.957081,0.366666667,4819.460551,0.483333333,1771.778767,0.583333333,6415.231874,0.691666667,7161.899189,0.775,2809.127979,0.858333333,1783.92825,0.945833333,10810.6614,1.004166667,8189.945055,1.070833333,14382.48935,1.1375,12002.39976,1.195833333,13433.56989,1.25,12144.33201,1.308333333,13513.72636,1.370833333,54146.46803,1.416666667,12967.22021,1.470833333,14061.00992,1.520833333,12009.59616,1.583333333,14603.56121,1.629166667,15496.73514,1.670833333,15364.21817,1.733333333,14450.41176,1.7625,20542.44387,1.804166667,19498.06144,1.85,18960.37974,1.895833333,17766.4853,1.945833333,17380.54084,1.983333333,17717.78767
0.008333333,3436.277055,0.204166667,5880,0.370833333,4941.902468,0.4875,2163.330765,0.5875,4659.957081,0.695833333,7771.331932,0.779166667,8668.287028,0.8625,3649.657518,0.95,11714.60627,1.008333333,9875.788576,1.075,12264.09393,1.141666667,14021.0128,1.2,12219.98363,1.254166667,14259.31275,1.3125,16431.23854,1.375,16711.48108,1.420833333,14460.37344,1.475,15444.61071,1.525,11889.69302,1.5875,17324.11037,1.633333333,16144.34886,1.675,15546.83247,1.7375,19037.68894,1.766666667,21087.58877,1.808333333,19397.36065,1.854166667,22220.74706,1.9,19683.29241,1.95,18379.20564,1.9875,19350.16279
0.0125,4452.954076,0.208333333,7320,0.375,6223.82519,0.491666667,2050.560899,0.591666667,6617.431526,0.7,7800,0.783333333,12429.70635,0.866666667,5634.891303,0.954166667,9184.508697,1.0125,10776.64141,1.079166667,12661.56388,1.145833333,11409.46975,1.204166667,13994.28455,1.258333333,16235.96009,1.316666667,19016.87672,1.379166667,13713.64284,1.425,15061.79272,1.479166667,14286.04914,1.529166667,8588.177921,1.591666667,11246.75953,1.6375,13756.1041,1.679166667,20407.76323,1.741666667,23773.93531,1.770833333,18733.84104,1.8125,20643.1393,1.858333333,15480.46511,1.904166667,18613.93027,1.954166667,17679.54751,1.991666667,18057.50813
0.016666667,4921.463197,0.2125,6029.925373,0.379166667,6797.764338,0.495833333,4132.602086,0.595833333,6609.81089,0.704166667,7942.694757,0.7875,10025.56732,0.870833333,6281.401118,0.958333333,6058.514669,1.016666667,12374.55454,1.083333333,13687.36644,1.15,10057.83277,1.208333333,13953.06418,1.2625,16834.67849,1.320833333,16622.49079,1.383333333,13146.43678,1.429166667,14205.18215,1.483333333,11172.89578,1.533333333,11720.75083,1.595833333,11758.77545,1.641666667,13901.88476,1.683333333,15522.73172,1.745833333,20929.94028,1.775,16296.15906,1.816666667,18040.35476,1.8625,18295.57324,1.908333333,15509.73888,1.958333333,15251.33437,1.995833333,13556.28268
0.020833333,2707.323401,0.216666667,3721.934981,0.383333333,5215.515315,0.5,5105.291373,0.6,6010.790297,0.708333333,5496.471595,0.791666667,6332.771905,0.875,7964.420883,0.9625,10584.51699,1.020833333,10117.07468,1.0875,12600.57142,1.154166667,10426.19777,1.2125,9000,1.266666667,11919.32884,1.325,10364.55498,1.3875,14610.46201,1.433333333,10182.33765,1.4875,10006.1581,1.5375,14555.65869,1.6,14664.07856,1.645833333,18778.37054,1.6875,11506.24178,1.75,18504.91827,1.779166667,14777.55054,1.820833333,14426.47566,1.866666667,16517.33635,1.9125,14765.36488,1.9625,18039.95565,2,11183.20169
0.025,2664.432397,0.220833333,3002.399041,0.3875,4087.052728,0.504166667,6462.197769,0.604166667,4440,0.7125,6504.398512,0.795833333,3601.999445,0.879166667,7393.402464,0.966666667,11320.77736,1.025,10003.27946,1.091666667,10100.69305,1.158333333,9336.123393,1.216666667,8174.105456,1.270833333,8644.165662,1.329166667,12108.11298,1.391666667,16292.6241,1.4375,10057.83277,1.491666667,12354.75617,1.541666667,8986.389709,1.604166667,14990.39693,1.65,21335.0416,1.691666667,16368.0176,1.754166667,25455.84412,1.783333333,16810.71087,1.825,17001.9293,1.870833333,12581.701,1.916666667,14861.60153,1.966666667,20144.27959,2.004166667,14065.10576
0.029166667,4129.116128,0.225,3201.999375,0.391666667,5422.619293,0.508333333,6194.83656,0.608333333,3864.298125,0.716666667,6964.136702,0.8,6788.225099,0.883333333,7320,0.970833333,9899.090867,1.029166667,11882.424,1.095833333,8981.581153,1.1625,14492.2048,1.220833333,10680.67414,1.275,7964.420883,1.333333333,15952.32898,1.395833333,17350.27377,1.441666667,13348.07851,1.495833333,14496.17881,1.545833333,9820.957183,1.608333333,16003.24967,1.654166667,20803.99962,1.695833333,16003.69957,1.741666667,81.61364308,1.7875,19728.23358,1.829166667,14984.15163,1.875,20071.23315,1.920833333,15143.31536,1.970833333,19826.52768,2.008333333,14232.02024
0.033333333,2136.539258,0.229166667,2305.124725,0.395833333,6964.136702,0.5125,5064.227483,0.6125,3696.701232,0.720833333,9079.64757,0.804166667,8479.339597,0.8875,8289.559699,0.975,10495.71341,1.033333333,12988.85676,1.1,12756.17498,1.166666667,16071.49029,1.225,14988.95593,1.279166667,10898.88068,1.3375,11877.57551,1.4,16327.0573,1.445833333,13732.53072,1.5,15203.57853,1.55,13570.61531,1.6125,19080.37735,1.658333333,19016.87672,1.7,19005.89382,,,1.791666667,21012.33923,1.833333333,13461.41152,1.879166667,21886.76312,1.925,20686.34332,1.975,32673.73257,2.0125,17836.45705
